economy,Year,Value,Indicator,IndicatorID
GMB,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNB,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNQ,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
KEN,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBR,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBY,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LSO,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MAR,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MDG,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MLI,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MOZ,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MRT,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MUS,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MWI,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NAM,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NER,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NGA,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
RWA,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SDN,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SEN,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SLE,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SOM,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SSD,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
STP,1965,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
